Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (VND),Competitive Density,SERP Features
các trò chơi với bóng bay cho trẻ em,,30,"0.11,0.11,1.00,0.22,0.22,0.33,1.00,0.33,0.11,0.11,0.11,0.11",,0.00,0.70,
các trò chơi với nước,,30,"0.11,0.11,0.56,1.00,0.33,0.11,0.11,0.11,0.56,0.11,0.44,0.11",,0.00,0.41,
các trò chơi với sỏi,,30,"0.11,0.11,0.11,0.11,0.78,0.11,0.22,0.56,0.22,0.11,1.00,0.00",,0.00,0.00,
các trò chơi điện tử phổ biến,,30,"0.11,0.78,0.33,1.00,0.44,0.11,0.11,0.11,0.11,0.11,0.11,0.11",,0.00,0.11,
các trò chơi đố vui để học,,30,"0.14,1.00,0.14,0.71,0.71,0.14,0.14,0.29,0.14,0.29,0.43,0.14",,0.00,0.00,
các trò chơi ở disneysea nhật bản,,30,"0.11,0.00,0.33,0.11,0.11,0.33,1.00,0.11,1.00,0.11,0.33,0.11",,0.00,0.00,
các trò chơi ở góc học tập,,30,"0.11,0.56,0.33,0.33,0.11,0.56,0.11,0.11,1.00,0.11,0.33,0.00",,0.00,0.00,
các trò chơi ở hạ long,,30,"0.56,1.00,0.11,0.22,0.56,0.78,0.11,0.11,0.11,0.11,0.11,0.44",,0.00,0.02,
các trò chơi ở tokyo disneyland,,30,"0.56,0.00,0.11,1.00,1.00,0.00,0.44,0.11,0.11,0.33,0.33,0.11",,0.00,0.00,
giới thiệu về các trò chơi dân gian,,30,"0.22,1.00,0.11,0.22,0.11,0.33,0.56,0.11,0.11,0.56,0.00,0.00",,0.00,0.00,
hình ảnh về các trò chơi dân gian,,30,"0.14,0.71,0.14,0.43,0.14,0.14,0.14,0.14,0.14,0.43,1.00,1.00",,0.00,0.00,
tranh các trò chơi dân gian,,30,"0.11,0.11,0.11,0.11,0.22,0.11,1.00,0.11,1.00,0.11,0.00,0.33",,0.00,0.67,
trò chơi cho các bé mẫu giáo,,30,"0.11,0.11,0.11,0.11,0.00,0.11,0.33,0.00,1.00,0.44,0.56,0.78",,0.00,0.00,
trò chơi các con vật,,30,"0.09,0.09,0.09,0.09,0.18,0.09,0.82,0.09,0.18,0.09,0.09,1.00",,0.00,0.40,
trò chơi dành cho các cặp đôi,,30,"0.14,0.57,0.14,0.57,0.14,0.14,0.29,0.14,0.71,0.14,1.00,0.29",,0.00,0.27,
trò chơi trang điểm cho các công chúa,,30,"0.56,0.44,0.11,0.11,0.22,0.11,0.11,0.00,0.78,0.11,0.22,1.00",,0.00,0.14,
trò chơi trung thu cho các bé,,30,"0.04,1.00,0.04,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.12,0.00",,0.00,0.00,
trò chơi về các con vật,,30,"0.56,0.11,1.00,0.11,0.11,0.22,0.44,1.00,0.33,0.11,0.22,0.11",,0.00,0.50,
trò chơi về các giác quan,,30,"0.09,0.09,1.00,0.18,0.09,0.45,0.45,0.09,0.09,0.18,0.09,0.36",,0.00,0.00,
tên các trò chơi bằng tiếng anh,,30,"0.14,0.43,0.14,0.29,0.29,0.29,1.00,0.57,0.14,0.29,0.71,0.14",,0.00,0.01,
tất cả các trò chơi hay nhất,,30,"0.05,0.05,0.05,0.05,0.05,0.05,0.00,0.05,0.19,0.10,0.05,1.00",,0.00,0.47,
bài soạn các trò chơi dân gian,,20,"0.20,1.00,0.20,0.40,0.20,0.20,0.40,0.20,0.20,0.20,0.20,1.00",,0.00,0.00,
các app trò chơi học tiếng anh,,20,"1.00,0.14,0.00,0.57,0.00,0.14,0.43,0.00,0.57,0.00,0.00,0.14",,0.00,0.05,
các chương trình trò chơi trên truyền hình,,20,"0.14,0.14,0.43,0.14,0.14,0.00,1.00,0.14,0.14,0.14,0.14,0.00",,0.00,0.00,
các câu hỏi cho trò chơi ô chữ,,20,"0.43,0.14,0.14,0.14,0.14,0.00,0.29,0.14,1.00,0.14,0.00,0.00",,0.00,0.00,
các câu hỏi trò chơi tập thể,,20,"1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.29,0.14,0.14,0.14",,0.00,0.15,
các cảnh nóng trong phim trò chơi vương quyền,,20,"0.25,0.50,1.00,0.25,0.00,0.25,0.25,0.75,0.25,0.25,0.25,0.75",,0.00,0.00,
các gian hàng trò chơi dân gian,,20,"1.00,0.20,0.20,0.20,0.20,1.00,0.00,0.20,0.20,0.20,0.40,0.40",,0.00,0.14,
các hình phạt trò chơi tập thể,,20,"0.11,0.11,0.11,0.22,0.11,0.11,1.00,0.56,0.11,0.11,0.11,0.11",,0.00,0.00,
các hình thức phạt khi chơi trò chơi tập thể,,20,"0.00,0.57,0.29,0.14,1.00,0.14,0.14,0.57,0.14,0.14,0.29,0.14",,0.00,0.00,
các loại cờ trò chơi,,20,"0.29,0.14,0.57,0.29,0.14,0.14,0.14,0.14,0.14,0.14,0.29,1.00",,0.00,0.79,
các loại mật thư trong trò chơi lớn,,20,"0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,1.00,0.20,1.00,0.20",,0.00,0.00,
các loại trò chơi bằng tiếng anh,,20,"0.14,0.14,0.29,0.14,0.14,0.14,0.71,0.14,0.29,1.00,0.43,0.14",,0.00,0.06,
các loại trò chơi cho trẻ mầm non,,20,"0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.14,1.00,0.14,0.14",,0.00,0.48,
các loại trò chơi cờ,,20,"0.29,0.14,0.57,0.14,0.14,0.29,0.14,0.57,0.14,0.14,1.00,0.14",,0.00,0.74,
các loại trò chơi cờ trên thế giới,,20,"0.14,1.00,1.00,0.14,0.14,0.14,0.14,0.29,0.43,0.14,0.14,0.14",,0.00,0.75,
các loại trò chơi của trẻ mẫu giáo,,20,"0.20,0.20,0.40,0.20,0.20,0.20,0.20,0.20,0.20,0.80,0.20,1.00",,0.00,0.29,
các loại trò chơi trên powerpoint,,20,"0.00,0.14,0.14,0.14,0.57,0.14,1.00,0.29,0.29,0.14,0.14,0.14",,0.00,0.00,
các loại trò chơi điện tử,,20,"0.14,0.43,0.29,0.14,0.14,0.57,0.29,0.14,0.14,0.14,1.00,0.29",,0.00,0.54,
các loại trò chơi ở trường mầm non,,20,"0.25,0.25,1.00,1.00,0.25,0.25,0.25,0.25,0.50,0.25,0.25,0.25",,0.00,0.00,
các mẫu trò chơi trên powerpoint,,20,"0.71,0.14,0.43,0.14,0.57,0.14,1.00,0.14,0.14,0.43,0.14,0.14",,0.00,0.00,
các nhân vật trong vua trò chơi yugioh,,20,"0.57,0.29,0.29,0.14,0.14,0.14,0.14,1.00,0.14,0.29,0.14,0.71",,0.00,0.00,
các phương pháp tổ chức trò chơi trong dạy học,,20,"0.14,0.14,0.43,0.71,1.00,0.57,0.14,0.14,0.14,0.14,0.14,0.00",,0.00,0.00,
các phần mềm thiết kế trò chơi trong dạy học,,20,"0.25,0.25,0.50,1.00,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25",,0.00,0.00,
các thể loại trò chơi,,20,"0.29,0.43,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",,0.00,0.10,
các trò chơi 20 10,,20,"0.09,0.09,1.00,0.36,0.00,0.00,0.00,0.09,0.18,0.00,0.00,0.18",,0.00,0.00,
các trò chơi 4 người,,20,"0.25,0.25,0.75,0.25,0.25,0.25,0.50,1.00,0.25,0.25,0.50,0.25",,0.00,0.31,
các trò chơi board game hay,,20,"0.20,1.00,0.40,0.20,0.20,0.20,0.80,0.40,0.40,0.20,0.20,0.20",,0.00,0.88,
các trò chơi bài tây,,20,"0.33,0.33,0.33,0.67,0.33,1.00,0.33,1.00,0.33,0.33,0.33,1.00",,0.00,0.10,
các trò chơi bảo vệ môi trường,,20,"0.11,0.11,0.11,0.11,0.11,0.22,0.11,1.00,0.22,0.11,0.11,0.11",,0.00,0.00,
các trò chơi bằng powerpoint,,20,"0.20,0.20,0.20,0.20,0.40,0.20,1.00,0.20,0.20,0.20,0.60,0.00",,0.00,0.00,
các trò chơi bằng tiếng anh cho trẻ em,,20,"0.25,0.25,0.50,1.00,0.25,1.00,0.25,0.25,0.25,0.50,0.25,0.25",,0.00,0.34,
các trò chơi bằng tiếng trung,,20,"1.00,1.00,0.14,0.14,0.14,0.14,0.14,0.00,0.14,0.14,0.00,0.14",,0.00,0.00,
các trò chơi bố mẹ chơi cùng con,,20,"0.60,0.40,0.80,0.20,0.60,0.20,1.00,0.20,0.20,0.20,0.40,0.20",,0.00,0.94,
các trò chơi bốc thăm trúng thưởng,,20,"0.00,0.20,0.40,0.20,0.20,1.00,0.20,0.20,0.40,0.20,0.40,0.20",,0.00,0.00,
các trò chơi bựa,,20,"1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.29,0.14",,0.00,0.00,
các trò chơi cho bài thuyết trình,,20,"1.00,0.25,0.25,0.25,0.50,0.25,0.25,0.25,0.25,0.25,0.25,1.00",,0.00,0.00,
các trò chơi cho bé 1 tuổi,,20,"0.20,1.00,0.20,0.20,0.40,0.40,0.20,0.20,0.20,0.20,0.80,0.20",,0.00,0.63,
các trò chơi cho bé 10 tháng tuổi,,20,"0.11,0.11,0.22,0.11,0.11,0.11,0.11,1.00,0.00,0.11,0.11,0.11",,0.00,1.00,
các trò chơi cho bé 3 tuổi,,20,"0.25,1.00,0.25,0.25,0.25,0.50,0.50,0.25,0.75,0.25,0.25,0.50",,0.00,0.18,
các trò chơi cho bé 5 tuổi,,20,"0.20,0.20,0.40,0.40,0.20,0.20,1.00,0.80,0.20,0.80,0.40,0.60",,0.00,0.87,
các trò chơi cho bé 9 tháng tuổi,,20,"0.25,0.25,0.25,0.25,0.25,0.75,0.50,0.25,1.00,0.25,0.25,0.75",,0.00,0.20,
các trò chơi cho bé tại nhà,,20,"0.20,1.00,0.40,1.00,0.00,0.20,0.20,0.20,0.20,0.20,0.20,0.20",,0.00,0.37,
các trò chơi cho bé ở nhà,,20,"0.25,0.50,0.75,0.00,1.00,0.50,0.00,0.00,0.25,0.50,0.25,1.00",,0.00,0.71,
các trò chơi cho con gái,,20,"0.11,0.56,0.11,0.11,0.22,0.00,1.00,0.11,0.11,0.11,0.33,0.11",,0.00,0.61,
các trò chơi cho các cặp đôi,,20,"0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.33,1.00,0.33",,0.00,1.00,
các trò chơi cho cặp đôi,,20,"0.14,0.14,1.00,0.29,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.29",,0.00,0.97,
các trò chơi cho gala dinner,,20,"1.00,0.43,0.14,0.14,0.14,0.14,0.00,0.14,0.14,0.14,0.14,0.14",,0.00,0.00,
các trò chơi cho học sinh,,20,"1.00,0.20,1.00,0.20,0.20,0.20,0.40,0.20,0.20,0.60,0.20,0.20",,0.00,0.33,
các trò chơi cho học sinh cấp 3,,20,"0.14,0.14,0.29,0.14,0.71,0.29,0.14,0.14,1.00,0.29,0.14,0.14",,0.00,0.00,
các trò chơi cho hội chợ,,20,"1.00,0.00,0.14,0.29,0.29,0.14,0.14,0.57,0.14,0.00,0.00,0.14",,0.00,0.00,
các trò chơi cho mẹ và bé,,20,"0.11,1.00,0.11,0.22,0.33,0.11,0.11,0.22,0.11,0.11,0.11,0.00",,0.00,0.00,
các trò chơi cho nhóm,,20,"0.22,0.11,0.11,0.11,0.11,0.11,0.33,0.11,1.00,0.78,0.11,0.11",,0.00,1.00,
các trò chơi cho thiếu nhi,,20,"0.20,0.20,0.20,0.20,0.40,0.20,0.20,0.20,1.00,0.60,0.20,0.60",,0.00,0.61,
các trò chơi cho tiệc cuối năm,,20,"0.00,0.14,0.14,1.00,0.43,0.14,0.14,0.43,0.57,0.00,0.00,0.00",,0.00,0.00,
các trò chơi cho trẻ 24 36 tháng,,20,"0.20,0.60,0.20,1.00,0.20,0.20,0.20,0.80,0.20,0.20,0.20,0.20",,0.00,0.60,
các trò chơi cho trẻ 3 tuổi,,20,"0.14,0.14,0.14,0.14,0.14,0.14,0.57,0.43,0.71,0.14,0.29,1.00",,0.00,0.00,
các trò chơi cho trẻ 6 tuổi,,20,"0.11,0.44,0.11,0.33,0.11,0.11,0.11,0.22,0.11,1.00,0.11,0.33",,0.00,0.49,
các trò chơi cho trẻ 7 tuổi,,20,"0.11,0.11,0.11,0.00,1.00,0.22,0.00,0.22,0.11,0.44,0.11,0.00",,0.00,0.00,
các trò chơi cho trẻ chậm nói,,20,"0.11,0.11,0.11,0.11,0.11,0.11,0.22,0.11,0.33,0.44,0.11,1.00",,0.00,0.00,
các trò chơi cho trẻ con,,20,"0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.71,0.14,0.14,1.00,0.14",,0.00,0.95,
các trò chơi cho trẻ nhà trẻ,,20,"0.11,0.33,0.11,0.11,0.11,0.11,1.00,0.11,0.11,0.78,0.11,0.11",,0.00,0.88,
các trò chơi cho trẻ tiểu học,,20,"0.33,1.00,0.33,0.33,0.33,0.67,0.67,0.33,0.33,1.00,1.00,0.33",,0.00,0.00,
các trò chơi cho tập thể,,20,"0.50,0.25,0.25,0.25,0.50,0.25,0.25,1.00,0.25,0.25,0.50,0.25",,0.00,0.00,
các trò chơi cho tập thể lớp,,20,"1.00,0.14,0.14,0.57,0.71,0.43,0.14,0.14,0.29,0.14,0.14,0.14",,0.00,0.00,
các trò chơi chơi thử,,20,"0.43,0.14,0.14,0.00,0.57,0.14,0.14,0.14,0.14,0.14,0.43,1.00",,0.00,0.29,
các trò chơi chủ đề nghề nghiệp,,20,"0.14,0.14,0.14,0.14,0.14,1.00,0.43,0.14,0.14,0.29,0.00,0.14",,0.00,0.00,
các trò chơi chủ đề quê hương đất nước,,20,"0.14,0.14,0.14,0.71,0.00,0.14,1.00,0.71,0.14,0.14,0.14,0.00",,0.00,0.00,
các trò chơi có luật cho trẻ mầm non,,20,"0.20,0.20,0.40,0.20,0.20,1.00,0.40,0.20,0.20,0.20,0.20,0.20",,0.00,0.00,
các trò chơi có thưởng,,20,"0.14,1.00,0.29,0.14,0.14,0.14,0.14,0.14,0.14,0.29,0.14,0.29",,0.00,0.21,
các trò chơi có thể tổ chức trong lớp học,,20,"0.11,0.11,0.33,0.11,1.00,0.11,0.11,0.33,0.11,0.11,0.22,0.11",,0.00,0.00,
các trò chơi công chúa,,20,"0.60,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.40,0.20,0.40,1.00",,0.00,0.10,
các trò chơi công viên rồng hạ long,,20,"0.33,1.00,0.33,0.67,0.67,0.33,0.33,0.33,0.33,0.33,1.00,0.33",,1057.08,0.06,
các trò chơi cùng bé,,20,"0.14,0.29,0.14,0.14,0.14,1.00,0.00,0.29,0.14,0.14,0.57,0.14",,0.00,1.00,
các trò chơi cải thiện trí nhớ,,20,"0.14,0.29,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",,0.00,0.75,
các trò chơi cảm giác mạnh ở hà nội,,20,"0.14,0.14,0.14,1.00,0.14,0.00,0.43,0.14,0.14,0.14,0.14,0.14",,0.00,0.00,
các trò chơi cảm giác mạnh ở suối tiên,,20,"1.00,0.20,0.20,0.20,0.20,0.20,0.40,0.20,0.20,0.20,0.20,0.40",,0.00,0.06,
các trò chơi cảm giác mạnh ở đầm sen,,20,"1.00,0.14,0.14,0.29,0.14,0.00,0.14,0.57,0.29,0.14,0.14,0.29",,0.00,0.00,
các trò chơi cảm thụ âm nhạc,,20,"0.00,0.11,0.11,0.22,0.22,0.33,0.22,0.00,1.00,0.11,0.00,0.00",,0.00,0.00,
các trò chơi cắm trại,,20,"0.11,1.00,0.11,0.22,0.11,0.33,0.11,0.22,0.11,0.22,0.11,0.11",,0.00,0.80,
các trò chơi cờ,,20,"0.33,0.33,0.67,0.67,0.33,1.00,0.33,0.67,0.33,0.33,0.33,0.67",,0.00,0.52,
các trò chơi của bé,,20,"0.14,0.29,0.71,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.00",,0.00,1.00,
các trò chơi của con gái,,20,"0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.57,0.14",,0.00,0.70,
các trò chơi của king,,20,"0.00,0.00,0.29,0.14,0.71,0.14,0.43,0.00,0.14,1.00,0.14,0.14",,0.00,0.07,
các trò chơi của nhật bản,,20,"0.80,0.20,0.20,0.20,0.20,0.20,0.40,0.20,0.20,1.00,0.20,0.60",,0.00,0.56,
các trò chơi của trẻ mầm non,,20,"0.14,0.14,1.00,0.29,0.14,0.14,0.14,0.14,0.14,0.14,0.57,0.14",,0.00,1.00,
các trò chơi dan gian dành cho trẻ em,,20,"0.14,0.43,0.29,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",,0.00,0.29,
các trò chơi dành cho bé,,20,"0.14,0.14,0.14,0.14,1.00,0.14,0.00,0.29,0.14,0.71,0.14,0.43",,0.00,0.00,
các trò chơi dành cho gia đình,,20,"0.14,0.14,1.00,0.14,0.29,0.14,0.14,0.14,0.14,0.14,0.14,1.00",,0.00,0.80,
các trò chơi dành cho nữ,,20,"0.29,0.29,0.14,0.00,0.00,0.14,0.14,0.00,0.00,1.00,0.14,1.00",,0.00,0.14,
các trò chơi dành cho phụ nữ,,20,"1.00,0.20,0.60,0.60,0.00,0.00,0.80,0.80,0.00,0.40,0.20,0.00",,0.00,0.00,
các trò chơi dành cho trẻ mầm non,,20,"0.20,0.20,0.40,0.20,0.20,0.80,0.20,0.20,0.60,1.00,0.20,0.40",,0.00,0.44,
các trò chơi dân gian cho học sinh tiểu học,,20,"0.25,0.50,0.50,0.25,0.25,0.25,1.00,0.50,0.75,0.25,0.25,0.25",,0.00,0.62,
các trò chơi dân gian cho người lớn,,20,"0.29,0.43,0.43,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.29,0.43",,0.00,0.04,
các trò chơi dân gian cho thiếu nhi,,20,"0.33,0.22,1.00,0.22,0.11,0.00,0.33,0.33,0.11,0.11,0.11,0.11",,0.00,0.00,
các trò chơi dân gian dành cho trẻ mẫu giáo,,20,"0.14,0.14,0.57,0.00,0.29,0.14,1.00,0.29,0.71,0.14,0.00,0.00",,0.00,0.00,
các trò chơi dân gian dịp tết,,20,"0.00,0.11,0.11,0.56,0.11,0.11,0.11,0.78,1.00,0.11,0.00,0.11",,0.00,0.00,
các trò chơi dân gian hay,,20,"0.25,0.25,1.00,0.25,0.50,0.25,0.75,0.75,0.25,0.25,0.75,0.25",,0.00,0.38,
các trò chơi dân gian hàn quốc,,20,"0.33,1.00,1.00,0.33,0.33,1.00,0.33,0.67,0.67,0.33,0.33,0.33",,0.00,0.01,
các trò chơi dân gian hội chợ,,20,"0.40,0.20,0.20,0.20,0.40,1.00,0.20,0.40,0.20,0.20,0.40,0.40",,0.00,0.75,
các trò chơi dân gian ngày xưa,,20,"0.11,0.22,0.11,0.22,0.11,0.11,0.11,0.11,1.00,0.11,0.56,0.11",,0.00,0.05,
các trò chơi dân gian tiếng anh là gì,,20,"0.00,1.00,0.22,0.33,0.11,0.11,0.22,0.11,0.11,0.33,0.56,0.11",,0.00,0.00,
các trò chơi dân gian trong trường học thpt,,20,"0.40,0.20,0.20,0.20,0.20,0.20,0.20,1.00,0.20,0.20,0.40,0.20",,0.00,0.00,
các trò chơi dân gian tập thể ngoài trời,,20,"0.14,1.00,0.14,0.14,0.29,0.14,0.14,0.14,0.14,0.14,0.43,0.29",,0.00,0.07,
các trò chơi dân gian và cách chơi,,20,"0.20,0.00,0.20,0.40,0.20,0.20,0.20,0.20,0.80,1.00,0.20,0.20",,0.00,0.50,
các trò chơi dã ngoại tập thể,,20,"0.00,0.00,0.00,0.80,0.00,0.40,0.20,1.00,0.20,0.20,0.60,0.20",,0.00,0.09,
các trò chơi dạy tiếng anh,,20,"0.14,0.14,0.14,0.57,0.14,0.14,1.00,0.14,0.43,0.14,0.14,0.14",,0.00,0.33,
các trò chơi gala dinner,,20,"0.14,0.14,0.14,0.57,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.43",,0.00,0.20,
các trò chơi game miễn phí,,20,"0.33,0.33,0.33,1.00,0.67,0.33,0.67,0.33,1.00,0.33,0.33,0.33",,0.00,0.09,
các trò chơi giao lưu,,20,"1.00,0.40,0.20,0.20,0.20,0.40,0.20,0.20,0.40,0.20,0.40,0.20",,0.00,0.00,
các trò chơi giáng sinh cho trẻ,,20,"0.00,0.00,1.00,0.44,1.00,0.33,0.00,0.00,0.00,0.11,0.00,0.00",,0.00,0.00,
các trò chơi giáo dục,,20,"0.20,0.80,1.00,0.40,0.40,0.20,0.20,0.20,0.20,0.40,0.20,0.20",,0.00,0.00,
các trò chơi giết thời gian,,20,"0.75,1.00,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25",,0.00,0.00,
các trò chơi gọi hồn,,20,"0.29,0.14,0.14,0.57,0.14,0.43,0.14,0.29,0.14,1.00,0.14,0.14",,0.00,0.00,
các trò chơi hay cho team building,,20,"0.14,0.43,0.57,0.14,0.57,0.14,0.14,0.14,0.29,0.14,1.00,0.14",,0.00,0.29,
các trò chơi hay cho tập thể,,20,"0.00,0.11,0.00,0.11,0.11,0.44,0.00,0.33,0.00,0.11,1.00,0.00",,0.00,0.00,
các trò chơi hay khi thuyết trình,,20,"0.14,0.29,0.14,0.14,0.14,0.14,0.29,0.43,1.00,0.14,0.00,0.14",,0.00,0.00,
các trò chơi hay nhất hiện nay,,20,"0.20,0.20,0.60,0.20,0.60,0.20,0.80,0.20,1.00,0.40,0.20,0.20",,0.00,0.71,
các trò chơi hay nhất thế giới,,20,"0.07,0.07,0.07,0.07,0.07,0.07,0.14,0.07,0.07,0.07,0.07,1.00",,0.00,0.50,
các trò chơi hay trên android,,20,"0.11,0.11,0.00,0.00,0.56,0.00,0.00,0.11,0.22,0.00,1.00,0.11",,0.00,0.00,
các trò chơi hay trên iphone,,20,"0.33,0.11,0.11,0.11,1.00,0.11,0.11,0.00,0.00,0.00,0.22,0.11",,0.00,0.00,
các trò chơi hay trên máy tính,,20,"0.14,0.57,0.29,0.14,0.14,0.71,0.43,0.14,0.14,1.00,0.14,0.14",,0.00,0.10,
các trò chơi hay trên pc,,20,"0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.29,0.14,0.14,0.14,1.00",,0.00,0.00,
các trò chơi hay trên điện thoại,,20,"0.14,1.00,0.14,0.14,0.14,0.57,0.14,0.14,0.14,0.14,0.14,0.14",,14270.61,0.22,
các trò chơi hay tại nhà,,20,"0.11,0.00,0.11,0.33,0.00,0.11,1.00,0.56,0.11,0.11,0.11,0.11",,0.00,0.06,
các trò chơi hot nhất hiện nay,,20,"0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.33,0.22,0.33,0.11,0.11",,0.00,0.14,
các trò chơi hoạt nào cho trẻ em,,20,"1.00,0.29,1.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.00,0.00",,0.00,0.00,
các trò chơi hoạt náo cho trẻ em,,20,"0.20,0.40,0.80,0.80,0.20,0.20,0.20,0.20,0.20,0.20,0.20,1.00",,0.00,0.24,
các trò chơi hoạt náo trong lớp,,20,"0.40,0.20,1.00,0.80,0.20,0.20,0.20,0.20,0.20,0.40,0.20,0.40",,0.00,0.00,
các trò chơi hoạt náo trong phòng,,20,"0.25,0.25,1.00,0.25,0.25,0.25,0.25,0.50,0.50,0.25,1.00,0.25",,0.00,0.00,
các trò chơi hoạt náo trên sân khấu,,20,"0.20,0.20,0.20,0.20,0.60,0.60,1.00,0.20,0.20,0.80,0.40,0.20",,0.00,0.00,
các trò chơi hoạt động ngoài trời,,20,"0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.14",,0.00,0.73,
các trò chơi hài hước,,20,"0.60,0.20,0.20,0.80,0.20,0.80,0.20,0.20,0.20,1.00,0.20,0.20",,0.00,0.00,
các trò chơi học tiếng anh,,20,"0.43,0.14,0.71,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.43,1.00",,0.00,0.03,
các trò chơi học tiếng anh cho trẻ em,,20,"0.25,0.50,0.25,0.25,0.25,0.25,0.50,0.75,1.00,0.25,0.25,0.25",,0.00,0.55,
các trò chơi học tiếng anh cho trẻ mầm non,,20,"0.11,0.11,0.33,0.11,1.00,0.22,0.11,0.11,0.00,0.22,0.22,0.11",,0.00,0.43,
các trò chơi học tập cho trẻ mầm non,,20,"0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.57,0.14,0.29,0.14,0.29",,0.00,0.50,
các trò chơi hồ núi cốc,,20,"0.75,0.25,0.25,0.75,0.25,0.75,0.25,0.25,0.25,1.00,0.25,0.25",,0.00,0.00,
các trò chơi hội chợ dành cho thiếu nhi,,20,"0.11,0.11,0.11,0.11,0.33,0.11,1.00,0.11,0.11,0.44,0.11,0.11",,0.00,1.00,
các trò chơi hội thao,,20,"0.14,0.14,0.43,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14",,0.00,0.34,
các trò chơi hội trại,,20,"0.14,0.29,1.00,0.14,0.14,0.14,0.14,0.14,0.29,0.14,0.14,0.14",,0.00,0.00,
các trò chơi khi họp lớp,,20,"0.20,0.20,0.20,0.20,0.20,0.20,1.00,0.20,0.20,0.60,0.20,0.80",,0.00,0.43,
các trò chơi khi thuyết trình,,20,"1.00,0.25,0.25,1.00,0.25,0.25,0.50,0.25,0.50,0.25,0.25,0.25",,0.00,0.10,
các trò chơi khi đi cắm trại,,20,"0.25,0.25,0.25,1.00,0.25,0.25,0.25,0.25,0.50,0.50,0.25,1.00",,0.00,0.00,
các trò chơi khi đi du lịch,,20,"0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.29,0.14,0.57,0.14",,0.00,0.30,
các trò chơi khi đi dã ngoại,,20,"0.14,0.14,0.14,0.43,0.14,0.00,0.14,0.57,1.00,0.57,0.14,0.14",,0.00,0.55,
các trò chơi khó nhất thế giới,,20,"0.57,0.14,0.29,0.14,0.14,0.14,0.14,0.29,0.14,0.14,1.00,0.14",,0.00,0.00,
các trò chơi khăm,,20,"0.14,0.14,1.00,0.14,0.14,0.14,0.57,0.43,0.14,0.14,0.43,0.29",,0.00,0.00,
các trò chơi khởi động tiết học,,20,"0.20,0.20,0.20,0.20,0.60,0.40,0.20,0.20,0.60,0.40,1.00,0.20",,0.00,0.00,
các trò chơi khởi động đầu giờ,,20,"0.14,0.43,0.14,0.14,0.29,0.14,0.14,0.29,0.14,1.00,0.57,0.57",,0.00,0.00,
các trò chơi kiến thức,,20,"1.00,0.14,0.29,0.14,0.14,0.14,0.14,0.14,0.00,0.14,0.14,0.14",,0.00,0.00,
các trò chơi kiểm tra từ vựng tiếng anh,,20,"0.14,1.00,0.14,0.14,0.43,0.14,0.14,0.29,0.14,0.29,0.14,0.14",,0.00,0.01,
các trò chơi kích thích trí não cho trẻ,,20,"0.67,1.00,0.33,0.33,0.33,0.33,0.33,0.67,0.33,0.33,1.00,0.33",,0.00,0.32,
các trò chơi lego,,20,"0.29,0.14,0.14,0.14,0.14,0.14,0.14,0.29,0.14,1.00,0.14,0.29",,0.00,0.21,
các trò chơi livestream,,20,"0.11,0.11,0.78,0.11,0.11,0.11,0.11,1.00,0.11,0.11,0.00,0.22",,0.00,0.50,
các trò chơi liên quan đến nước,,20,"1.00,0.20,0.20,0.80,0.80,0.20,0.20,0.20,0.20,0.20,0.20,0.20",,0.00,0.56,
các trò chơi liên quan đến rác thải,,20,"0.67,0.33,0.33,0.67,0.33,0.33,0.33,1.00,0.33,1.00,0.33,0.33",,0.00,0.07,
các trò chơi luyện phát âm cho trẻ mầm non,,20,"0.25,0.25,0.25,0.25,1.00,0.75,0.50,0.75,0.25,0.25,0.25,0.00",,0.00,0.00,
